YearStart,Topic,LocationAbbr,YearlyAvgPrevalence,RecordCount,PrevYearPrevalence,YoY_Change,YoY_ChangePercent,QualityStatus
2020,Asthma,WV,15.03,12,13.86,1.17,8.44,VALID
2021,Asthma,WV,14.59,16,15.03,-0.44,-2.93,VALID
2022,Asthma,WV,15.88,14,14.59,1.29,8.84,LOW_RECORDS
2015,Cancer,WV,630.94,108,,,,MISSING_STATES
2016,Cancer,WV,625.32,108,630.94,-5.62,-0.89,MISSING_STATES
2020,Cancer,WV,69.99,18,625.32,-555.33,-88.81,VALID
2022,Cancer,WV,68.58,14,69.99,-1.41,-2.01,VALID
2019,Cardiovascular Disease,WV,493.3,136,,,,VALID
2020,Cardiovascular Disease,WV,775.78,78,493.3,282.48,57.26,MISSING_STATES
2021,Cardiovascular Disease,WV,466.15,144,775.78,-309.63,-39.91,VALID
2019,Diabetes,WV,295.62,43,,,,VALID
2020,Diabetes,WV,294.99,52,295.62,-0.63,-0.21,VALID
2021,Diabetes,WV,328.33,55,294.99,33.34,11.3,VALID
2022,Diabetes,WV,18.17,15,328.33,-310.16,-94.47,LOW_RECORDS
2019,Asthma,WY,10.45,12,,,,VALID
2020,Asthma,WY,10.89,12,10.45,0.44,4.21,VALID
2021,Asthma,WY,12.49,14,10.89,1.6,14.69,VALID
2022,Asthma,WY,10.58,13,12.49,-1.91,-15.29,LOW_RECORDS
2015,Cancer,WY,198.61,108,,,,MISSING_STATES
2016,Cancer,WY,199.17,108,198.61,0.56,0.28,MISSING_STATES
2020,Cancer,WY,64.12,20,199.17,-135.05,-67.81,VALID
2022,Cancer,WY,54.08,14,64.12,-10.04,-15.66,VALID
2019,Cardiovascular Disease,WY,136.81,118,,,,VALID
2020,Cardiovascular Disease,WY,214.05,71,136.81,77.24,56.46,MISSING_STATES
2021,Cardiovascular Disease,WY,136.4,122,214.05,-77.65,-36.28,VALID
2019,Diabetes,WY,109.14,38,,,,VALID
2020,Diabetes,WY,125.78,45,109.14,16.64,15.25,VALID
2021,Diabetes,WY,132.74,47,125.78,6.96,5.53,VALID
2022,Diabetes,WY,11.03,15,132.74,-121.71,-91.69,LOW_RECORDS
